"","industry","major_occupation","minor_occupation","race_gender","industry_total","employ_n","year"
"220",NA,"Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",NA,NA,2020
"221","Men","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",NA,NA,2020
"222","Men","Management, professional, and related occupations","Professional and related occupations","TOTAL",NA,NA,2020
"223","Men","Service occupations","Protective service occupations","TOTAL",NA,NA,2020
"224","Men","Service occupations","Service occupations, except protective","TOTAL",NA,NA,2020
"225","Men","Sales and office occupations","Sales and related occupations","TOTAL",NA,NA,2020
"226","Men","Sales and office occupations","Office and administrative support occupations","TOTAL",NA,NA,2020
"227","Men","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",NA,NA,2020
"228","Men","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",NA,NA,2020
"229","Men","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",NA,NA,2020
"230","Men","Production, transportation, and material moving occupations","Production occupations","TOTAL",NA,NA,2020
"231","Men","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",NA,NA,2020
"232","Agriculture and related","Management, professional, and related occupations","Management, business, and financial operations occupations","Men",1699000,707000,2020
"233","Agriculture and related","Management, professional, and related occupations","Professional and related occupations","Men",1699000,36000,2020
"234","Agriculture and related","Service occupations","Protective service occupations","Men",1699000,11000,2020
"235","Agriculture and related","Service occupations","Service occupations, except protective","Men",1699000,52000,2020
"236","Agriculture and related","Sales and office occupations","Sales and related occupations","Men",1699000,6000,2020
"237","Agriculture and related","Sales and office occupations","Office and administrative support occupations","Men",1699000,16000,2020
"238","Agriculture and related","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Men",1699000,714000,2020
"239","Agriculture and related","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Men",1699000,10000,2020
"240","Agriculture and related","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Men",1699000,31000,2020
"241","Agriculture and related","Production, transportation, and material moving occupations","Production occupations","Men",1699000,36000,2020
"242","Agriculture and related","Production, transportation, and material moving occupations","Transportation and material moving occupations","Men",1699000,80000,2020
"243","Mining, quarrying, and oil and gas extraction","Management, professional, and related occupations","Management, business, and financial operations occupations","Men",585000,104000,2020
"244","Mining, quarrying, and oil and gas extraction","Management, professional, and related occupations","Professional and related occupations","Men",585000,90000,2020
"245","Mining, quarrying, and oil and gas extraction","Service occupations","Protective service occupations","Men",585000,1000,2020
"246","Mining, quarrying, and oil and gas extraction","Service occupations","Service occupations, except protective","Men",585000,4000,2020
"247","Mining, quarrying, and oil and gas extraction","Sales and office occupations","Sales and related occupations","Men",585000,9000,2020
"248","Mining, quarrying, and oil and gas extraction","Sales and office occupations","Office and administrative support occupations","Men",585000,11000,2020
"249","Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Men",585000,0,2020
"250","Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Men",585000,2e+05,2020
"251","Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Men",585000,38000,2020
"252","Mining, quarrying, and oil and gas extraction","Production, transportation, and material moving occupations","Production occupations","Men",585000,56000,2020
"253","Mining, quarrying, and oil and gas extraction","Production, transportation, and material moving occupations","Transportation and material moving occupations","Men",585000,72000,2020
"254","Construction","Management, professional, and related occupations","Management, business, and financial operations occupations","Men",9613000,1894000,2020
"255","Construction","Management, professional, and related occupations","Professional and related occupations","Men",9613000,256000,2020
"256","Construction","Service occupations","Protective service occupations","Men",9613000,10000,2020
"257","Construction","Service occupations","Service occupations, except protective","Men",9613000,32000,2020
"258","Construction","Sales and office occupations","Sales and related occupations","Men",9613000,112000,2020
"259","Construction","Sales and office occupations","Office and administrative support occupations","Men",9613000,101000,2020
"260","Construction","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Men",9613000,6000,2020
"261","Construction","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Men",9613000,6157000,2020
"262","Construction","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Men",9613000,604000,2020
"263","Construction","Production, transportation, and material moving occupations","Production occupations","Men",9613000,147000,2020
"264","Construction","Production, transportation, and material moving occupations","Transportation and material moving occupations","Men",9613000,294000,2020
"265","Manufacturing","Management, professional, and related occupations","Management, business, and financial operations occupations","Men",10255000,1831000,2020
"266","Manufacturing","Management, professional, and related occupations","Professional and related occupations","Men",10255000,1722000,2020
"267","Manufacturing","Service occupations","Protective service occupations","Men",10255000,26000,2020
"268","Manufacturing","Service occupations","Service occupations, except protective","Men",10255000,111000,2020
"269","Manufacturing","Sales and office occupations","Sales and related occupations","Men",10255000,402000,2020
"270","Manufacturing","Sales and office occupations","Office and administrative support occupations","Men",10255000,466000,2020
"271","Manufacturing","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Men",10255000,15000,2020
"272","Manufacturing","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Men",10255000,287000,2020
"273","Manufacturing","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Men",10255000,607000,2020
"274","Manufacturing","Production, transportation, and material moving occupations","Production occupations","Men",10255000,3857000,2020
"275","Manufacturing","Production, transportation, and material moving occupations","Transportation and material moving occupations","Men",10255000,932000,2020
"276","Durable goods","Management, professional, and related occupations","Management, business, and financial operations occupations","Men",6814000,1197000,2020
"277","Durable goods","Management, professional, and related occupations","Professional and related occupations","Men",6814000,1305000,2020
"278","Durable goods","Service occupations","Protective service occupations","Men",6814000,12000,2020
"279","Durable goods","Service occupations","Service occupations, except protective","Men",6814000,50000,2020
"280","Durable goods","Sales and office occupations","Sales and related occupations","Men",6814000,257000,2020
